known_count,unique_solution,time_taken
40,False,5--6148-27---396-1---7283--8-9452-63----83---432-769---8-------34--6--899--8---36,0.01
40,True,------6411-97-6-8548-21-37-6--5--------38--5-7--6--12836-458----7-92356-9-5--7--2,0.02
40,False,9-----5--71849---33-4----984---178----7-694-22653489-7-719-----84--5--7--3-87-1--,0.02
40,True,8-3--7-242174--9---46------6---95--7--48-651-52---46-94-97-3-85-7------11825-93--,0.03
40,False,3------595--391-----92581---3-------295-143-----53---29----583--64-735-17531-2496,0.05
40,False,---8-3--1-3-9-687--86--1--565--9-4234-32-56---7--3--589--3-2-8-86-7-9---3-75-8--9,0.06
40,False,1--35-62-523796-4-6----85--9612-3--53--4-9----425--963--------8-3-8-52-6----1735-,0.08
40,False,8---71-3-1---2389-7--9-8--4-368---12-7-31--8948-6--57-317--69-5--87--3-----1--7-8,0.08
40,False,7-59241---2371---9-1-5-8---35-867-9--97-5---6--649-2-5---645718-4-3--9---7---9---,0.09
40,True,92143--7687--5--2-5-627918---8--7-592---61---6----5---3--5-4-677-5----924-9----15,0.09
